trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_accuracy,val_f1_macro,val_auc_macro,val_bss
15,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,0.9720807075500488,0.45794392523364486,0.419742883379247,0.6881537832823094,-0.09455294444835105
15,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,0.8264984488487244,0.4766355140186916,0.4267316989688957,0.7942486682608969,0.19600628674265796
15,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,1.0774810314178467,0.5514018691588785,0.4098008734917462,0.666935867836827,-0.0033509038012973225
16,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,0.8784428600953004,0.5981308411214953,0.4518770471151423,0.7485187777150829,0.09885038044631478
16,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,0.7193047788655647,0.5887850467289719,0.5787304255782821,0.8385373468195133,0.29522883291686774
16,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,1.0123954543443483,0.5233644859813084,0.4625902992776058,0.6740606331838469,0.012154308216875687
17,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.8637524247169495,0.5233644859813084,0.4782379229623324,0.7194479677482959,0.06139463981119209
17,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.7944085597991943,0.5981308411214953,0.591578093776246,0.7889010125377549,0.24842157042877877
17,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.9871576428413391,0.4485981308411215,0.3444444444444445,0.6632407522424146,0.023050650305006304
18,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.9932484983283782,0.5233644859813084,0.5102254067771309,0.7112961497211173,-0.09390512404622275
18,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.818917769137944,0.5887850467289719,0.571011143951588,0.839515970592665,0.2143201146463618
18,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.9952977182709168,0.5233644859813084,0.4665291682115931,0.6831568592137612,0.012645171561865065
19,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,0.9613580191246817,0.4766355140186916,0.4405366357069143,0.6575978379754625,-0.029983068155371218
19,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,0.8045928132868259,0.5794392523364486,0.46694796061884664,0.774614547356692,0.2316700720083681
19,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,1.0228639930208152,0.4485981308411215,0.3229357798165138,0.6678669352493873,-0.02654476949943696
