trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
48,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.7694759368896484,64,2,0.0,0.0001,0.0,16,9,60,0.2479599091487053,55,60,0.4979557394981384,0.3760218918323517,0.9263619256037694,0.7694759368896484
48,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.3750154376029968,64,2,0.0,0.0001,0.0,16,9,60,0.3240492397393936,56,60,0.5692532062530518,0.4886641800403595,0.6619566114767488,0.3750154376029968
48,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.5720677375793457,64,2,0.0,0.0001,0.0,16,9,60,0.233728235348677,55,60,0.48345449566841125,0.39740246534347534,0.7877674098854076,0.5720677375793457
49,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.4936249852180481,32,1,0.5,0.0001,1e-05,32,9,60,0.5446751713752747,60,60,0.7380210757255554,0.5165097117424011,0.8149061631723635,0.4936249852180481
49,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.315470814704895,32,1,0.5,0.0001,1e-05,32,9,60,0.3549225926399231,60,60,0.5957537889480591,0.48941320180892944,0.5752314099407477,0.315470814704895
49,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.40011411905288696,32,1,0.5,0.0001,1e-05,32,9,60,0.3276459574699402,60,60,0.5724036693572998,0.43773460388183594,0.6366936108579425,0.40011411905288696
50,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.74526047706604,32,1,0.5,0.0003,0.0,16,9,60,0.2740070059513434,50,60,0.5234567523002625,0.4032130539417267,0.9274364241741841,0.74526047706604
50,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.5640192627906799,32,1,0.5,0.0003,0.0,16,9,60,0.22605233238293573,59,60,0.4754496216773987,0.4006235897541046,0.7524449762315456,0.5640192627906799
50,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.6451530456542969,32,1,0.5,0.0003,0.0,16,9,60,0.19381050574473846,60,60,0.4402391314506531,0.35709837079048157,0.809249635970321,0.6451530456542969
51,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.8202252388000488,64,2,0.3,0.0005,1e-05,64,12,60,0.19420142471790314,32,52,0.44068291783332825,0.34164655208587646,0.9484244996699522,0.8202252388000488
