rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
35,119,3,"[64, 128, 256]",5,0.2,256,1,0.0003,0.0,8,25,1.0,60,,,,,0.7545135375866638,0.04484351687099284,0.6697819314641743,0.050808431247040785,0.6441489494348941,0.06543456393740985,0.8185133646590579,0.05424001252134819,0.26105509796367593,0.10893923178540561,0.26105509796367593,0.10893923178540561
36,33,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,,,,,0.7168405713322007,0.06485620899632062,0.6666666666666666,0.030839548089132918,0.6383980898140075,0.039159966132711624,0.8280721246455097,0.03480507424490378,0.26027644154321067,0.1055629894684617,0.26027644154321067,0.1055629894684617
37,20,3,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,,,,,0.7578016582679155,0.09797776428429701,0.6791277258566978,0.028889777244534908,0.6261637077834769,0.06271018701962267,0.7848113940687754,0.10060021475614409,0.25988601875556094,0.11423340948890255,0.25988601875556094,0.11423340948890255
38,87,3,"[128, 256, 512]",3,0.0,256,1,0.0005,1e-05,32,25,1.0,60,,,,,0.7586501439412435,0.07308963687679136,0.644859813084112,0.06867728250793959,0.6262771333360453,0.07766273020434127,0.8250365399495689,0.06442813399909061,0.2583369400937659,0.11824593919139266,0.2583369400937659,0.11824593919139266
39,94,3,"[64, 128, 256]",3,0.0,256,2,0.0005,0.0001,16,25,1.0,60,,,,,0.7570678003109133,0.08059874596935128,0.6728971962616822,0.04641640008022225,0.6351086553910498,0.07398547855729004,0.8046403473522691,0.05842842669002347,0.2579378588810231,0.10866526879428909,0.2579378588810231,0.10866526879428909
40,91,3,"[64, 128, 256, 512]",5,0.2,256,1,0.0005,1e-05,16,25,1.0,60,,,,,0.7585025658117277,0.07126729045753331,0.6884735202492211,0.02679852108112968,0.6174009053440429,0.09454810899935337,0.8151133404193535,0.05714376151823869,0.2555800108713136,0.10685933521137757,0.2555800108713136,0.10685933521137757
41,85,3,"[64, 128, 256, 512]",5,0.2,256,2,0.0005,0.0001,32,12,1.0,60,,,,,0.764899472395579,0.03146832919506006,0.6822429906542057,0.022892427502646525,0.6397826483610798,0.05817434667317532,0.8130731541602163,0.05226251120791404,0.255471205245368,0.0575250862289031,0.255471205245368,0.0575250862289031
42,24,3,"[32, 64, 128]",3,0.4,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.761983335018158,0.0381813209449143,0.6791277258566978,0.019203781940713323,0.6246650151033549,0.022870198629341684,0.7974040064887361,0.044139255674789955,0.2550700002884487,0.048399871754801156,0.2550700002884487,0.048399871754801156
43,5,3,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,,,,,0.7644960880279541,0.039575894921918306,0.6697819314641743,0.023312507082703687,0.6344923180744076,0.024751678819312836,0.8223899329839702,0.04739908259401371,0.2544328297340902,0.05384160707621967,0.2544328297340902,0.05384160707621967
44,19,3,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,,,,,0.7615173111823489,0.056255528831350855,0.6791277258566978,0.023312507082703687,0.6496308051585488,0.0683404209158681,0.7995595949670685,0.0814614322456262,0.25405183764338046,0.09674178105844415,0.25405183764338046,0.09674178105844415
45,83,3,"[64, 128, 256, 512]",5,0.2,128,2,0.0003,0.0001,16,12,0.5,60,,,,,0.7563211646778191,0.04475095446120145,0.6635514018691588,0.033261926018789134,0.6508506429004512,0.040670951731450855,0.8267723521352336,0.037206956036213094,0.25338303086720976,0.07917176720236409,0.25338303086720976,0.07917176720236409
46,89,3,"[64, 128, 256, 512]",5,0.4,128,1,0.0005,0.0001,8,12,1.0,60,,,,,0.728937513917406,0.05979541154689975,0.67601246105919,0.06924022047007125,0.659584095426568,0.07982857443517925,0.8345014096158656,0.044337424024963996,0.2529072606150458,0.13339575703425513,0.2529072606150458,0.13339575703425513
47,32,3,"[64, 128, 256, 512]",3,0.2,128,2,0.0003,0.0001,16,12,1.0,60,,,,,0.7586249478880861,0.01884603295191651,0.660436137071651,0.03176959198500178,0.6149385643179522,0.03751253250051181,0.8139475385044171,0.03427476121040572,0.2529030027270041,0.051155720932512416,0.2529030027270041,0.051155720932512416
48,31,3,"[64, 128, 256, 512]",5,0.2,512,1,0.0005,0.0001,8,12,1.0,60,,,,,0.745081423413345,0.05989951481141873,0.6386292834890965,0.01762259890807595,0.6248224407900295,0.032996005350410494,0.8352883884327317,0.035016194344612575,0.2517775346618861,0.06780222782568635,0.2517775346618861,0.06780222782568635
49,36,3,"[64, 128, 256]",5,0.2,128,2,0.0003,1e-05,32,12,0.5,60,,,,,0.7840673327445984,0.06430606021486926,0.7009345794392523,0.02643389836211393,0.6728688267295455,0.04805515010364275,0.8206493839094895,0.05186714062576295,0.25063256733599687,0.04917398562807969,0.25063256733599687,0.04917398562807969
50,108,3,"[128, 256, 512]",3,0.0,256,1,0.001,0.0001,16,25,1.0,60,,,,,0.7994266094819779,0.12823254285354144,0.67601246105919,0.02679852108112968,0.648892857040935,0.05365611577954131,0.812288240768126,0.058471227933376016,0.2504648361766462,0.13619582334712022,0.2504648361766462,0.13619582334712022
51,56,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0003,1e-05,8,12,1.0,60,,,,,0.7214290633379855,0.04501223010171007,0.644859813084112,0.02751327372687803,0.6165920620846858,0.04879940397123218,0.8179139476705597,0.051187080120801046,0.24995913425583827,0.07919172251192863,0.24995913425583827,0.07919172251192863
52,117,3,"[32, 64, 128]",5,0.2,256,2,0.0003,0.0001,8,12,0.5,60,,,,,0.7647025915692528,0.011087877614448,0.6853582554517134,0.01588479599250089,0.637997229629926,0.018154331123543192,0.8081488382555123,0.042815771335064735,0.2499469605522883,0.047223459860863515,0.2499469605522883,0.047223459860863515
53,57,3,"[64, 128, 256]",5,0.4,512,2,0.0005,0.0,8,12,1.0,60,,,,,0.76626992095668,0.08219834796353463,0.660436137071651,0.0352451978161519,0.6198488751667343,0.06930450590876419,0.8002714897996555,0.08601771670804054,0.24926155768505665,0.1293455363075921,0.24926155768505665,0.1293455363075921
54,98,3,"[128, 256, 512]",3,0.0,256,2,0.0005,1e-05,32,12,0.5,60,,,,,0.7620619734128317,0.07678386593739973,0.6666666666666666,0.008811299454037975,0.6249012055622571,0.05678630446266328,0.8087911105234339,0.06601119897322494,0.2492217208480646,0.056692364294858424,0.2492217208480646,0.056692364294858424
55,92,3,"[64, 128, 256]",5,0.0,128,2,0.0003,0.0,8,12,0.5,60,,,,,0.7538817368935202,0.0605127997792578,0.6666666666666666,0.05927195511040639,0.6351576600397357,0.07296219585222886,0.8061434495503916,0.07056132171515728,0.24829371594513536,0.1178323627988424,0.24829371594513536,0.1178323627988424
56,50,3,"[64, 128, 256]",3,0.0,256,2,0.0003,1e-05,32,12,1.0,60,,,,,0.7675253748893738,0.05714176987603402,0.6853582554517134,0.019203781940713323,0.6043548866515374,0.03607107888577733,0.7968550788750445,0.05292985173654308,0.24754667332306826,0.054691002324959506,0.24754667332306826,0.054691002324959506
57,21,3,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,,,,,0.7784862122803092,0.03352492807806608,0.67601246105919,0.023312507082703687,0.6393790351542935,0.04281435961991288,0.8090478682638057,0.05872677894501575,0.2462768406442992,0.06591047432218006,0.2462768406442992,0.06591047432218006
58,120,3,"[64, 128, 256]",5,0.4,128,1,0.0005,0.0,32,25,0.5,60,,,,,0.7605130076408386,0.05597966598550623,0.6791277258566978,0.03176959198500178,0.5976476242951914,0.06673270050677275,0.8018009142375018,0.06193151544031062,0.2462058446797377,0.09227772190505777,0.2462058446797377,0.09227772190505777
59,39,3,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,1e-05,8,12,0.5,60,,,,,0.7587506897352938,0.09381119485458267,0.6791277258566977,0.030839548089132918,0.6361310239121233,0.06072542694120541,0.8200663650760287,0.04244410768122652,0.24400905742342693,0.10905860950338755,0.24400905742342693,0.10905860950338755
60,73,3,"[128, 256, 512]",3,0.0,128,1,0.0003,1e-05,32,25,1.0,60,,,,,0.7772853573163351,0.09637194827089648,0.6697819314641745,0.03440922435260829,0.6150397883225209,0.04349540472544345,0.7996906373192405,0.06533987779778273,0.24374172896419244,0.08844463501544261,0.24374172896419244,0.08844463501544261
61,34,3,"[32, 64, 128]",3,0.0,512,2,0.0005,0.0,8,25,1.0,60,,,,,0.7870334360829766,0.09375490271736199,0.6947040498442366,0.03176959198500178,0.6553372598901174,0.05462891544281426,0.7822272878662554,0.08278294073837414,0.2427138307579566,0.11579581494056161,0.2427138307579566,0.11579581494056161
62,104,3,"[64, 128, 256]",3,0.0,512,2,0.0005,0.0,32,25,0.5,60,,,,,0.7978312770525614,0.09396190228429066,0.7040498442367601,0.023312507082703684,0.6339892374412454,0.058880332425943704,0.8050016791246021,0.08834961450210321,0.24062747366943169,0.09086592332382078,0.24062747366943169,0.09086592332382078
63,25,3,"[64, 128, 256]",3,0.4,512,2,0.001,0.0,8,25,1.0,60,,,,,0.7857917196282717,0.11222319508251746,0.6635514018691588,0.042486547342635066,0.6129588762366254,0.08518636788009538,0.7815633165046152,0.08473728323584633,0.23485716089776906,0.162980333986544,0.23485716089776906,0.162980333986544
64,61,3,"[128, 256, 512]",3,0.4,256,1,0.0003,0.0,8,12,0.5,60,,,,,0.772731251620058,0.10442390446190995,0.67601246105919,0.046625014165407375,0.6465359415301973,0.0689886288595515,0.8172163066510199,0.060149658528041945,0.23457217848034348,0.1553065578106401,0.23457217848034348,0.1553065578106401
65,16,3,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,,,,,0.7664362164301292,0.05881097090085928,0.6510903426791277,0.05777955448906981,0.6428917436086876,0.0640099665526725,0.8267855896924353,0.035836554190627805,0.23326578945294185,0.10727836295597114,0.23326578945294185,0.10727836295597114
66,126,3,"[32, 64, 128]",5,0.2,256,2,0.001,1e-05,32,12,0.5,60,,,,,0.7630796829859415,0.09968132574708849,0.6479750778816199,0.08576884671611343,0.6196874273630092,0.0908445849626321,0.8095355173948354,0.0573590562334209,0.2308352067974542,0.16502059664132424,0.2308352067974542,0.16502059664132424
67,77,3,"[128, 256, 512]",3,0.2,128,2,0.0005,0.0001,16,25,0.5,60,,,,,0.8069437643820624,0.022009813160642867,0.6822429906542057,1.1102230246251565e-16,0.6219356131583506,0.039160789185129045,0.7806987909241053,0.060092544431336305,0.23073788754792593,0.0675295664846572,0.23073788754792593,0.0675295664846572
68,79,3,"[32, 64, 128]",5,0.0,256,1,0.001,0.0,32,12,1.0,60,,,,,0.8131846785545349,0.10587914952452487,0.67601246105919,0.03764188776820739,0.6484053562940401,0.06131929762295523,0.7950468610877385,0.08865786854390982,0.22885911268733158,0.111464939627362,0.22885911268733158,0.111464939627362
69,59,3,"[128, 256, 512]",3,0.0,512,1,0.001,1e-05,32,25,1.0,60,,,,,0.8359401623407999,0.17076747812459891,0.6728971962616822,0.05502654745375606,0.6359478042936414,0.08215988825831508,0.795095202080689,0.07876167751719505,0.22859470783082225,0.1692256892409542,0.22859470783082225,0.1692256892409542
70,110,3,"[32, 64, 128]",5,0.4,512,2,0.001,0.0001,32,25,1.0,60,,,,,0.786403238773346,0.11297852632392229,0.6635514018691588,0.07744425479536482,0.6295666773964131,0.07609854943863725,0.8132742956196058,0.055707826637300936,0.2268184648008942,0.162675451557998,0.2268184648008942,0.162675451557998
71,113,3,"[64, 128, 256]",5,0.2,256,2,0.0003,1e-05,16,25,1.0,60,,,,,0.7806310902503419,0.028876490551904152,0.6542056074766355,0.03965084754317089,0.5988075457130764,0.035780873828564284,0.7995560569525476,0.04101028516838357,0.2260314470177085,0.03829811486843544,0.2260314470177085,0.03829811486843544
72,116,3,"[64, 128, 256]",5,0.4,128,1,0.001,0.0,8,25,0.5,60,,,,,0.7888796789995235,0.09086436138037546,0.6573208722741434,0.024529619545208138,0.6283323263967379,0.051358021585189775,0.8115190896878771,0.055677415141294796,0.22513684728850666,0.12127148947136739,0.22513684728850666,0.12127148947136739
73,27,3,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,,,,,0.8217402254680978,0.10509271414431864,0.660436137071651,0.062149337517943944,0.6342276037620405,0.08629823184601093,0.7998134366872565,0.06945555640829337,0.2245221901613902,0.15767526901559945,0.2245221901613902,0.15767526901559945
74,88,3,"[128, 256, 512]",3,0.2,128,1,0.0005,0.0001,8,25,0.5,60,,,,,0.7793181523727108,0.06693741563936939,0.6355140186915887,0.03052323667019537,0.6156334007935387,0.04784848021092214,0.7952292228561787,0.053869478184218084,0.22420852601496602,0.11247756679055251,0.22420852601496602,0.11247756679055251
75,48,3,"[64, 128, 256, 512]",3,0.2,256,2,0.001,0.0,8,25,1.0,60,,,,,0.7639963140368833,0.10171065823943773,0.6510903426791277,0.06120524206974611,0.5820013678857453,0.13542916429237536,0.796589955172709,0.06939205789269404,0.22361291430897948,0.1511567359288064,0.22361291430897948,0.1511567359288064
76,60,3,"[128, 256, 512]",3,0.2,512,2,0.0003,0.0,16,12,0.5,60,,,,,0.8016720746536493,0.08725494749214513,0.6666666666666666,0.03440922435260829,0.6106136513233045,0.04798999700110001,0.7955236199304786,0.06134270848719014,0.2220303650955832,0.10858637062264201,0.2220303650955832,0.10858637062264201
77,45,3,"[32, 64, 128]",3,0.4,128,2,0.001,1e-05,32,12,0.5,60,,,,,0.7904501756032308,0.06136732618976259,0.6822429906542057,0.03052323667019537,0.632875114304218,0.0637971485333752,0.797727237466451,0.07152656520816825,0.221709334096959,0.08019556079418894,0.221709334096959,0.08019556079418894
78,30,3,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.7934897740681967,0.08769120565503889,0.660436137071651,0.05520263285566776,0.6259534497894615,0.046131730941297674,0.8476112090047406,0.03350788049656049,0.22095272769361607,0.0908299102200747,0.22095272769361607,0.0908299102200747
79,106,3,"[64, 128, 256]",5,0.2,256,1,0.0005,1e-05,32,12,0.5,60,,,,,0.7869523564974467,0.06145833706003066,0.660436137071651,0.030839548089132918,0.6136548422884406,0.03640731529446487,0.798566141591718,0.055562113448223364,0.22080017057540824,0.08727711208921698,0.22080017057540824,0.08727711208921698
80,63,3,"[32, 64, 128]",5,0.2,256,1,0.001,0.0,32,25,1.0,60,,,,,0.7671617070833842,0.055629754694537493,0.6666666666666666,0.05624757035908969,0.6103444971779033,0.06661319476684499,0.8188435525094228,0.05067935905827255,0.22042709194641483,0.11861240012542268,0.22042709194641483,0.11861240012542268
81,10,3,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,,,,,0.803709597416756,0.10589010518537222,0.6635514018691588,0.053415664172841895,0.618730688637619,0.06865562642990465,0.8036810914759696,0.04975320256435932,0.21742458683297097,0.1488129430251457,0.21742458683297097,0.1488129430251457
82,15,3,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,,,,,0.8088892102241516,0.09114894448075538,0.6573208722741433,0.049059239090416276,0.628562493077221,0.05985364496430846,0.7945866896620969,0.07007707214335912,0.21701136618140182,0.13229468798810498,0.21701136618140182,0.13229468798810498
83,52,3,"[128, 256, 512]",5,0.2,128,1,0.0005,0.0001,8,12,0.5,60,,,,,0.7853455625219136,0.13103625939907354,0.6791277258566978,0.04599633352097633,0.623058162978506,0.08492889225310968,0.7890367801353501,0.08275275272118249,0.21554389461581272,0.14756516031563743,0.21554389461581272,0.14756516031563743
84,90,3,"[64, 128, 256, 512]",3,0.2,128,1,0.001,0.0,16,12,0.5,60,,,,,0.7775635750865639,0.09786137969592235,0.6355140186915887,0.05003856200688166,0.5983514567394851,0.07434037606069889,0.8073621884212714,0.059289902903221246,0.21529281038798542,0.13856055824930236,0.21529281038798542,0.13856055824930236
