rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
120,69,val_r2,0.2065893809000651,0.24415705477193309,3,128,2,0.5,0.0005,0.0001,32,9,60
121,247,val_r2,0.20637774467468262,0.29463580885304946,3,128,1,0.0,0.0003,1e-05,32,6,60
122,152,val_r2,0.2063122789065043,0.25156846296862384,3,32,1,0.5,0.0005,0.0001,32,6,60
123,248,val_r2,0.20616271098454794,0.28809169464326906,3,128,1,0.5,0.0003,1e-05,32,9,60
124,25,val_r2,0.20602792501449585,0.2987477086807777,3,128,2,0.1,0.0005,0.0,32,6,60
125,91,val_r2,0.2060253620147705,0.362669183455512,3,256,1,0.1,0.0005,0.0001,16,6,60
126,195,val_r2,0.20596754550933838,0.3145940416405698,3,64,1,0.5,0.0005,0.0,64,9,60
127,177,val_r2,0.2058978279431661,0.29021113485160455,3,256,2,0.0,0.0005,0.0001,64,6,60
128,189,val_r2,0.20589590072631836,0.29352530905560825,3,128,1,0.3,0.0001,0.0001,64,9,60
129,184,val_r2,0.20564164717992148,0.3054573435575086,3,128,1,0.1,0.001,0.0001,32,9,60
130,6,val_r2,0.20544801155726114,0.2722181792037893,3,64,1,0.1,0.0005,0.0,32,9,60
131,5,val_r2,0.20532015959421793,0.27637251972605975,3,64,1,0.3,0.0005,0.0001,16,9,60
132,96,val_r2,0.2052872578303019,0.22411944673679515,3,32,1,0.3,0.0003,0.0001,32,9,60
133,39,val_r2,0.2052846153577169,0.2865842299523339,3,256,2,0.3,0.0003,0.0,64,6,60
134,242,val_r2,0.20526498556137085,0.28566464878650044,3,256,1,0.5,0.001,0.0,32,9,60
135,153,val_r2,0.20525097846984863,0.24894175053821466,3,256,2,0.0,0.0003,1e-05,64,12,60
136,160,val_r2,0.20522844791412354,0.28552702773967464,3,256,1,0.1,0.0001,0.0,64,6,60
137,206,val_r2,0.20477120081583658,0.23174530907970012,3,128,2,0.3,0.0003,0.0001,32,12,60
138,226,val_r2,0.20468165477116904,0.20462374859521354,3,32,2,0.0,0.0001,0.0,16,12,60
139,47,val_r2,0.20445847511291504,0.2578108326045264,3,256,2,0.0,0.0001,0.0001,32,9,60
140,142,val_r2,0.20437508821487427,0.24774473891553678,3,256,2,0.0,0.0005,0.0,64,12,60
141,112,val_r2,0.2039900223414103,0.23329537462542005,3,64,2,0.0,0.0005,0.0,32,12,60
142,131,val_r2,0.2035719950993856,0.2813123939019088,3,128,1,0.3,0.0001,0.0001,16,9,60
143,116,val_r2,0.20268203814824423,0.2664858595790432,3,32,1,0.3,0.001,1e-05,32,9,60
144,174,val_r2,0.2023837169011434,0.23095977044340427,3,32,2,0.0,0.0005,1e-05,16,9,60
145,105,val_r2,0.2016875147819519,0.26419112133473827,3,64,2,0.3,0.0005,1e-05,64,6,60
146,238,val_r2,0.2016071081161499,0.3128508099232336,3,256,2,0.0,0.0003,1e-05,64,6,60
147,52,val_r2,0.20096292098363241,0.29188755754963136,3,32,1,0.5,0.0003,0.0001,16,6,60
148,146,val_r2,0.20095203320185342,0.2863740957984575,3,64,2,0.5,0.001,1e-05,64,6,60
149,85,val_r2,0.20092099905014038,0.2600840066549395,3,256,2,0.5,0.0003,1e-05,32,12,60
150,155,val_r2,0.2000343402226766,0.21129710055728365,3,32,2,0.0,0.001,1e-05,64,12,60
151,185,val_r2,0.2000025510787964,0.30827622702313734,3,32,1,0.0,0.001,1e-05,32,9,60
152,84,val_r2,0.19935542345046997,0.27161763917960247,3,256,1,0.0,0.001,1e-05,16,12,60
153,199,val_r2,0.1990463932355245,0.26478550079762236,3,64,2,0.3,0.001,0.0001,16,9,60
154,123,val_r2,0.19896185398101807,0.3027678934391209,3,64,1,0.3,0.001,1e-05,64,9,60
155,163,val_r2,0.19833473364512125,0.2750327333354852,3,32,1,0.3,0.0005,1e-05,64,12,60
156,50,val_r2,0.19797110557556152,0.25469955457864973,3,32,1,0.5,0.0003,0.0,16,9,60
157,221,val_r2,0.19684624671936035,0.2874824075999182,3,256,2,0.3,0.0001,0.0001,32,6,60
158,249,val_r2,0.19668545325597128,0.3529903438236812,3,128,1,0.1,0.001,1e-05,32,9,60
159,179,val_r2,0.19588667154312134,0.28916235685906266,3,256,2,0.1,0.001,1e-05,64,9,60
160,167,val_r2,0.19573630889256796,0.31374149831784803,3,128,1,0.1,0.0001,0.0,16,6,60
161,186,val_r2,0.1956385374069214,0.29063705001525647,3,256,1,0.5,0.0005,1e-05,32,12,60
162,200,val_r2,0.19546584288279215,0.2850695502268145,3,256,2,0.0,0.0001,0.0001,16,6,60
163,117,val_r2,0.19511238733927408,0.27638552791211096,3,64,1,0.0,0.0003,0.0001,16,12,60
164,191,val_r2,0.19470733404159546,0.21347736473575118,3,32,2,0.3,0.0001,0.0,16,12,60
165,231,val_r2,0.19371485710144043,0.22537423997848824,3,32,2,0.3,0.0005,0.0,16,9,60
166,250,val_r2,0.1932861010233561,0.2984776345146813,3,32,2,0.0,0.0003,1e-05,16,6,60
167,223,val_r2,0.19326416651407877,0.2595491380114946,3,256,2,0.0,0.0001,1e-05,16,9,60
168,71,val_r2,0.19319711128870645,0.27575033202479493,3,128,2,0.1,0.0001,1e-05,64,6,60
169,53,val_r2,0.19304211934407553,0.2841301611146764,3,64,2,0.1,0.0003,1e-05,32,6,60
170,38,val_r2,0.19258336226145426,0.28698963572445246,3,256,2,0.0,0.0001,0.0,32,6,60
171,51,val_r2,0.1923261284828186,0.2270222221875873,3,64,2,0.3,0.0005,1e-05,64,12,60
172,147,val_r2,0.19228275616963705,0.268411569755085,3,64,2,0.1,0.0003,0.0001,64,6,60
173,99,val_r2,0.19222561518351236,0.2503282632445312,3,32,2,0.3,0.0005,0.0001,64,9,60
174,217,val_r2,0.190981924533844,0.3143172139132322,3,64,1,0.1,0.001,1e-05,32,12,60
175,212,val_r2,0.18914665778477988,0.2812874533692077,3,256,2,0.5,0.0003,0.0,32,9,60
176,218,val_r2,0.18862128257751465,0.26930566132368167,3,32,1,0.5,0.001,0.0001,64,12,60
177,166,val_r2,0.18845824400583902,0.25999113302665233,3,128,2,0.3,0.0003,1e-05,16,9,60
178,36,val_r2,0.18813824653625488,0.2928691837095517,3,256,2,0.3,0.0003,0.0001,32,6,60
179,86,val_r2,0.18809602657953897,0.2620437276821444,3,64,2,0.1,0.0001,1e-05,16,6,60
180,80,val_r2,0.18808863560358682,0.26358909046660844,3,32,1,0.5,0.001,0.0,16,12,60
181,109,val_r2,0.18789790074030557,0.27463965450201194,3,128,2,0.1,0.001,1e-05,32,9,60
182,43,val_r2,0.18771302700042725,0.2406390719469446,3,64,2,0.0,0.0001,1e-05,64,9,60
183,202,val_r2,0.18732537825902304,0.25693031271490996,3,128,2,0.0,0.0005,0.0001,32,9,60
184,68,val_r2,0.18710744380950928,0.2684343137651988,3,128,2,0.5,0.0001,1e-05,16,6,60
185,65,val_r2,0.18675992886225382,0.23274628223039576,3,128,2,0.0,0.0001,0.0001,16,12,60
186,198,val_r2,0.186693807442983,0.31661193189696984,3,128,2,0.5,0.001,1e-05,16,9,60
187,8,val_r2,0.18650555610656738,0.23433292729466212,3,32,2,0.1,0.0005,0.0,32,9,60
188,113,val_r2,0.1859877904256185,0.24786597263802004,3,256,2,0.5,0.0001,0.0001,32,12,60
