trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
18,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,18,0.7274073362350464,0.5824719071388245,0.4500081321531828,0.13415706157684326
19,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,20,0.6706075668334961,0.5332064032554626,0.5113052686403045,0.2556267976760864
19,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,41,0.7197659611701965,0.5689511299133301,0.6601226981006978,0.4239274263381958
19,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,18,0.727785587310791,0.5944084525108337,0.43579503082234194,0.13325631618499756
20,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,35,0.6394549608230591,0.5070844888687134,0.5719798506824195,0.32317912578582764
20,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,74,0.6755772233009338,0.5373204946517944,0.7082468179965725,0.4924900531768799
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,120,0.7476215958595276,0.6158915162086487,0.49071614186514334,0.08536577224731445
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,41,0.6443325877189636,0.5123604536056519,0.566504987242036,0.31281453371047974
21,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,88,0.6792160868644714,0.5435532331466675,0.704610084115066,0.48700809478759766
21,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,128,0.7376378774642944,0.6055564284324646,0.5021620995685973,0.10963064432144165
