trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
27,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,128,0.6355140186915887,0.6245242202689011,0.8115599085275239,0.15989408366659852
27,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,86,0.7009345794392523,0.7036676798378926,0.8747767735897579,0.4037806693149215
27,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,4,0.05,0.6,1.0,10.0,0.1,1.0,0.0,0.0,50,216,0.6915887850467289,0.6703166114930821,0.8687358393240746,0.3615647575105294
28,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,49,0.5700934579439252,0.5641480269139844,0.790034843765445,0.07512906533151964
28,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,71,0.7289719626168224,0.7309188632718046,0.8662147543445992,0.3913489218476842
28,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.05,0.8,1.0,1.0,0.1,3.0,0.0,0.0,50,198,0.7289719626168224,0.7210462097611631,0.8839086567027743,0.40240351826808507
29,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,167,0.616822429906542,0.6043338170997745,0.8109586968361903,0.11778705267008738
29,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,184,0.7383177570093458,0.740402576489533,0.8678271537040917,0.3956135727477069
29,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.05,1.0,0.6,5.0,1.0,10.0,0.5,1.0,100,224,0.719626168224299,0.7131506506506508,0.8660025432084256,0.3571700473404661
30,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,142,0.6542056074766355,0.6400618064334879,0.813079769990308,0.14488331926200926
30,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,80,0.719626168224299,0.7223565225176829,0.8728842422156374,0.40403904009887226
30,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.05,0.8,0.6,10.0,0.1,3.0,0.0,1.0,100,312,0.7383177570093458,0.7259546925566344,0.8720435610141491,0.3727912289355201
31,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,576,0.616822429906542,0.613637355253628,0.8104314243123795,0.11187318130128165
31,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,479,0.7009345794392523,0.7013396375098502,0.8731974811189928,0.4025001843633512
31,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.01,1.0,0.8,10.0,0.0,3.0,0.1,1.0,50,799,0.7102803738317757,0.7059267912772585,0.8620359215947451,0.35513766126421487
32,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,499,0.5887850467289719,0.5864585729989519,0.8033844244671801,0.07377911787319735
32,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,315,0.7289719626168224,0.7286690143833,0.8582849737888498,0.38635945224420176
32,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,5,0.01,1.0,1.0,5.0,0.0,10.0,0.1,0.0,50,499,0.7383177570093458,0.7328293887672356,0.8558758235228824,0.34826415834615176
33,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,200,0.616822429906542,0.6146983857264231,0.804042834551629,0.10749347546122645
33,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,147,0.7102803738317757,0.7146591970121382,0.878147911893067,0.4035961078128535
33,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.03,1.0,0.8,10.0,1.0,1.0,0.5,1.0,100,283,0.7383177570093458,0.7289120860403436,0.8736404934934346,0.36579863184396044
34,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,85,0.5700934579439252,0.5658974358974359,0.7802418643482825,0.01885519030393701
34,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,75,0.7383177570093458,0.7411942554799698,0.8598135407001687,0.385180486293047
34,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,4,0.05,1.0,0.6,1.0,0.1,5.0,0.0,0.0,50,157,0.7383177570093458,0.7401568234901568,0.8716856672739025,0.3784376270038802
35,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,118,0.5420560747663551,0.5375988116080429,0.8034215225732231,0.06289500282858562
35,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.03,1.0,0.8,5.0,0.1,1.0,0.5,0.0,50,112,0.7289719626168224,0.7337461300309598,0.8707383116782342,0.3898858991520693
