trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
10,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.06987422704696655,32,1,0.4,0.001,0.0,32,9,60,0.5482884645462036,3,23,0.7404650449752808,0.5843433737754822,0.27083289197812965,0.06987422704696655
11,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6832292079925537,128,1,0.4,0.001,0.0001,32,9,60,0.3421998918056488,5,25,0.5849785208702087,0.44694817066192627,0.8635752031497115,0.6832292079925537
11,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.0795738697052002,128,1,0.4,0.001,0.0001,32,9,60,0.4827212691307068,3,23,0.694781482219696,0.578549325466156,0.38099163216242327,0.0795738697052002
11,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.2087007761001587,128,1,0.4,0.001,0.0001,32,9,60,0.4664532542228699,12,32,0.6829739212989807,0.560542643070221,0.544597992787846,0.2087007761001587
12,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5976271629333496,64,2,0.4,0.0003,0.0,32,6,60,0.4312090277671814,34,54,0.6566650867462158,0.47841134667396545,0.8523193611084865,0.5976271629333496
12,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.049906253814697266,64,2,0.4,0.0003,0.0,32,6,60,0.4958229064941406,7,27,0.7041469812393188,0.5522173643112183,0.24735600538846325,0.049906253814697266
12,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.112446129322052,64,2,0.4,0.0003,0.0,32,6,60,0.5219444036483765,34,54,0.722457230091095,0.5780574083328247,0.41628804383459234,0.112446129322052
13,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6244816780090332,32,1,0.2,0.0003,0.0001,16,12,60,0.4129671626663827,33,53,0.6426252722740173,0.44123953580856323,0.8962365316887086,0.6244816780090332
13,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.10963785648345947,32,1,0.2,0.0003,0.0001,16,12,60,0.46631884652298766,8,28,0.6828754544258118,0.5473248362541199,0.3350583122666473,0.10963785648345947
13,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.1704634428024292,32,1,0.2,0.0003,0.0001,16,12,60,0.48899343533393663,32,52,0.6992806792259216,0.5765236020088196,0.4925846425544504,0.1704634428024292
14,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.7269757986068726,128,1,0.0,0.0003,0.0,16,12,60,0.30025177952144055,10,30,0.5479523539543152,0.3924032151699066,0.9343187621852778,0.7269757986068726
14,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.07810181379318237,128,1,0.0,0.0003,0.0,16,12,60,0.482835494078599,2,22,0.6948637366294861,0.5539518594741821,0.32812726520397634,0.07810181379318237
14,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.13880771398544312,128,1,0.0,0.0003,0.0,16,12,60,0.5076537361511817,11,31,0.7124982476234436,0.5797918438911438,0.4858356922556901,0.13880771398544312
15,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5779919028282166,64,2,0.0,0.001,0.0,16,6,60,0.4522514574420758,4,24,0.6724964380264282,0.47746315598487854,0.8370942166598321,0.5779919028282166
15,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.048987746238708496,64,2,0.0,0.001,0.0,16,6,60,0.4963023555584443,1,21,0.7044872641563416,0.5555954575538635,0.2346156285772507,0.048987746238708496
15,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.16605466604232788,64,2,0.0,0.001,0.0,16,6,60,0.49041895775855343,15,35,0.700299084186554,0.5779176354408264,0.4838428471879415,0.16605466604232788
16,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.5915845632553101,32,1,0.0,0.0003,0.0,32,9,60,0.44120147824287415,39,59,0.6642299890518188,0.46742433309555054,0.866643861340523,0.5915845632553101
16,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.10835587978363037,32,1,0.0,0.0003,0.0,32,9,60,0.4676263630390167,9,29,0.6838321685791016,0.5450032353401184,0.3341224607711909,0.10835587978363037
16,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.026239454746246338,32,1,0.0,0.0003,0.0,32,9,60,0.5740102529525757,11,31,0.7576346397399902,0.600463330745697,0.20326441658840755,0.026239454746246338
17,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.6594918966293335,32,1,0.0,0.0003,0.0,32,6,60,0.364910751581192,55,60,0.6040784120559692,0.4480651319026947,0.8766005113362486,0.6594918966293335
17,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.10649043321609497,32,1,0.0,0.0003,0.0,32,6,60,0.4662936329841614,12,32,0.6828569173812866,0.5445305705070496,0.33345102830636747,0.10649043321609497
17,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.018498361110687256,32,1,0.0,0.0003,0.0,32,6,60,0.5771922469139099,13,33,0.7597317695617676,0.5839680433273315,0.25029457921645065,0.018498361110687256
18,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6574482321739197,32,1,0.2,0.0003,0.0001,32,12,60,0.37671300768852234,52,60,0.61376953125,0.4217495620250702,0.925379500040617,0.6574482321739197
18,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.022651374340057373,32,1,0.2,0.0003,0.0001,32,12,60,0.5118772387504578,15,35,0.715455949306488,0.5575752258300781,0.31202400859526447,0.022651374340057373
18,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.059188902378082275,32,1,0.2,0.0003,0.0001,32,12,60,0.5545872449874878,9,29,0.7447062134742737,0.5838747024536133,0.25057553032723706,0.059188902378082275
19,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5795458555221558,32,2,0.2,0.0003,0.0,32,6,60,0.4505862593650818,51,60,0.6712571978569031,0.5011416077613831,0.8484476377327074,0.5795458555221558
19,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.05563521385192871,32,2,0.2,0.0003,0.0,32,6,60,0.4928331971168518,12,32,0.7020208239555359,0.5484811067581177,0.26414577087280283,0.05563521385192871
19,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,-0.0022925138473510742,32,2,0.2,0.0003,0.0,32,6,60,0.5894189476966858,9,29,0.7677362561225891,0.612753689289093,0.14946304771039473,-0.0022925138473510742
20,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6362428665161133,32,2,0.2,0.0003,0.0001,32,12,60,0.4000331163406372,39,59,0.6324816942214966,0.47762441635131836,0.872481802161764,0.6362428665161133
20,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.053075194358825684,32,2,0.2,0.0003,0.0001,32,12,60,0.4959430992603302,8,28,0.7042322158813477,0.5598547458648682,0.2518379483069803,0.053075194358825684
20,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.08233296871185303,32,2,0.2,0.0003,0.0001,32,12,60,0.5409442782402039,38,58,0.7354892492294312,0.5855368375778198,0.39817270842229013,0.08233296871185303
21,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5951666831970215,64,2,0.2,0.0003,0.0001,16,6,60,0.43384587430419064,20,40,0.6586697697639465,0.5066736936569214,0.8592936736741605,0.5951666831970215
21,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.04381406307220459,64,2,0.2,0.0003,0.0001,16,6,60,0.4990022885493743,4,24,0.7064009308815002,0.554054856300354,0.2303660128362886,0.04381406307220459
21,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.08997726440429688,64,2,0.2,0.0003,0.0001,16,6,60,0.5351576880563663,34,54,0.7315447926521301,0.5993480682373047,0.43419692987041664,0.08997726440429688
22,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.7027912139892578,128,1,0.0,0.0003,0.0001,16,12,60,0.32684814649355876,11,31,0.5717063546180725,0.4340420067310333,0.916890369745229,0.7027912139892578
22,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.04575759172439575,128,1,0.0,0.0003,0.0001,16,12,60,0.49977557303069475,2,22,0.7069481015205383,0.5573496222496033,0.3083930023030688,0.04575759172439575
22,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.17085593938827515,128,1,0.0,0.0003,0.0001,16,12,60,0.4887620837260515,14,34,0.6991152167320251,0.5759425759315491,0.49904014883177744,0.17085593938827515
23,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6741082072257996,32,1,0.0,0.0003,0.0,16,9,60,0.35205312073230743,40,60,0.5933406352996826,0.48760420083999634,0.8783864006786429,0.6741082072257996
23,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.02128005027770996,32,1,0.0,0.0003,0.0,16,9,60,0.5356145271888146,4,24,0.7318569421768188,0.5787895917892456,0.3059121028330491,-0.02128005027770996
23,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.052672386169433594,32,1,0.0,0.0003,0.0,16,9,60,0.5584285511420324,5,25,0.7472808361053467,0.598028838634491,0.2529469818392108,0.052672386169433594
24,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6409698724746704,64,2,0.4,0.0003,0.0001,32,12,60,0.3948347270488739,29,49,0.6283587217330933,0.4818819761276245,0.90547385916523,0.6409698724746704
24,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.05395907163619995,64,2,0.4,0.0003,0.0001,32,12,60,0.49548012018203735,6,26,0.7039034962654114,0.5474391579627991,0.26699787197997593,0.05395907163619995
24,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.010920524597167969,64,2,0.4,0.0003,0.0001,32,12,60,0.5830404162406921,4,24,0.7635708451271057,0.6086808443069458,0.11533289045436099,0.010920524597167969
25,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6686248183250427,32,2,0.2,0.001,0.0,32,12,60,0.3644217848777771,18,38,0.6036735773086548,0.4406431019306183,0.9016270203808376,0.6686248183250427
25,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.044224441051483154,32,2,0.2,0.001,0.0,32,12,60,0.5005785226821899,3,23,0.7075157165527344,0.5589223504066467,0.24317578763394732,0.044224441051483154
25,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.07364988327026367,32,2,0.2,0.001,0.0,32,12,60,0.5460628271102905,12,32,0.7389606833457947,0.6009707450866699,0.4116774436157475,0.07364988327026367
