rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
31,57,3,"[64, 128, 256]",5,0.4,512,2,0.0005,0.0,8,12,1.0,60,,,,,0.19993958599006645,0.01359607369591671,0.44688908259073895,0.015213894330022263,0.3662348985671997,0.017175138298212256,0.8437339743336127,0.0394114238238994,0.7021708687146505,0.06808937916157343,0.7021708687146505,0.06808937916157343
32,120,3,"[64, 128, 256]",5,0.4,128,1,0.0005,0.0,32,25,0.5,60,,,,,0.2080223262310028,0.04267757664921976,0.45356568694114685,0.047963244822770465,0.36287346482276917,0.04853476429988692,0.8486425536606562,0.03505864367125627,0.7013363440831503,0.0492426954970168,0.7013363440831503,0.0492426954970168
33,90,3,"[64, 128, 256, 512]",3,0.2,128,1,0.001,0.0,16,12,0.5,60,,,,,0.2033177146751933,0.023933155693081538,0.45008851091067,0.027166897261319815,0.35262425740559894,0.017542997416443627,0.843350121753159,0.032978426133823145,0.7012375593185425,0.06008384302168368,0.7012375593185425,0.06008384302168368
34,71,3,"[64, 128, 256, 512]",3,0.2,256,2,0.0003,1e-05,16,25,0.5,60,,,,,0.2051191218081293,0.03937986449327184,0.4506293336550395,0.04530271528903373,0.356748233238856,0.0324811526231825,0.8484340644656917,0.03187027344696435,0.701182226339976,0.06968914401408437,0.701182226339976,0.06968914401408437
35,49,3,"[128, 256, 512]",5,0.0,128,2,0.0003,0.0001,16,25,0.5,60,,,,,0.20202661902176625,0.03356360300405947,0.447889119386673,0.03770888790282818,0.35448559125264484,0.033043663474311875,0.8376634746743165,0.04989532676424991,0.7000454266866049,0.08305616569932328,0.7000454266866049,0.08305616569932328
36,67,3,"[64, 128, 256]",5,0.4,512,2,0.0005,1e-05,32,25,1.0,60,,,,,0.20559793710708618,0.045717973787773133,0.45035412907600403,0.05271733253916811,0.3543127179145813,0.03834359595350071,0.841213595642949,0.04398568126324259,0.6996167302131653,0.08374710663421306,0.6996167302131653,0.08374710663421306
37,63,3,"[32, 64, 128]",5,0.2,256,1,0.001,0.0,32,25,1.0,60,,,,,0.2116868644952774,0.05190359628583449,0.45649242401123047,0.05745809356182429,0.37353964646657306,0.05435205186212384,0.8485596866695234,0.02111780272381993,0.6993227203687032,0.04624400219617147,0.6993227203687032,0.04624400219617147
38,127,3,"[128, 256, 512]",5,0.2,256,1,0.0003,0.0001,32,25,1.0,60,,,,,0.20779610176881155,0.029335330593451232,0.45471419890721637,0.0321112422327661,0.36676494280497235,0.02194836551094415,0.8426113608668158,0.02124351846493112,0.6991472244262695,0.03863615870729165,0.6991472244262695,0.03863615870729165
39,79,3,"[32, 64, 128]",5,0.0,256,1,0.001,0.0,32,12,1.0,60,,,,,0.20143994192282358,0.044159662191658865,0.4461461404959361,0.04892407207347909,0.3516489366690318,0.033339543147769726,0.8442444505142013,0.04905131574741797,0.6987208127975464,0.101504398616755,0.6987208127975464,0.101504398616755
40,95,3,"[128, 256, 512]",5,0.4,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.20886273682117462,0.03817232646112497,0.45494920015335083,0.04340452199708561,0.3656310240427653,0.02721497475813568,0.8391722065144781,0.03619767347055307,0.6960376699765524,0.06617395975892558,0.6960376699765524,0.06617395975892558
