rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
29,142,3,1600,2,0.05,0.6,0.8,3.0,0.1,10.0,0.1,0.0,50,,,,,76.66666666666667,62.46243315430127,0.5420560747663551,0.08800278437274475,0.49600010874186246,0.11291871257247173,0.7015879230056643,0.10294168656385451,0.07200935390900971,0.18346425556908674,0.07200935390900971,0.18346425556908674
30,127,3,1600,2,0.01,0.8,0.8,10.0,0.1,1.0,0.5,0.0,50,,,,,271.6666666666667,237.82393113860982,0.5295950155763239,0.1155591089781396,0.4840036959888439,0.14157891174513992,0.6949886319956026,0.11136036476403398,0.07179484851069273,0.19144031402439857,0.07179484851069273,0.19144031402439857
31,247,3,800,4,0.05,0.6,0.8,3.0,0.0,1.0,0.0,1.0,50,,,,,46.666666666666664,47.11923410054775,0.5327102803738317,0.09530877595500531,0.49095888442038577,0.1124574727490298,0.706299703888856,0.09461517295979839,0.0715942639634527,0.18745993115355408,0.0715942639634527,0.18745993115355408
32,156,3,800,5,0.1,0.8,1.0,5.0,0.0,5.0,0.0,1.0,100,,,,,24.333333333333332,22.425184255405547,0.5295950155763239,0.09841476011795211,0.48346801244130716,0.11695063064484644,0.6903947954755577,0.10726655500253467,0.0715304227575188,0.1881523190914855,0.0715304227575188,0.1881523190914855
33,104,3,1200,4,0.1,0.8,1.0,10.0,1.0,5.0,0.1,1.0,50,,,,,30.333333333333332,28.193773938387338,0.5327102803738317,0.09283280016044447,0.48404921057741834,0.12106976337814102,0.6996265240188047,0.10014535040062755,0.07139281496995871,0.1735215621498803,0.07139281496995871,0.1735215621498803
34,109,3,800,5,0.03,0.8,0.8,10.0,1.0,10.0,0.1,1.0,50,,,,,141.0,124.45347189478751,0.5482866043613707,0.12169485971728729,0.5027100218250152,0.15089019383450386,0.7036913073942358,0.10275186249750005,0.0713617731465263,0.18281028221918066,0.0713617731465263,0.18281028221918066
35,216,3,800,5,0.1,0.8,0.8,10.0,0.01,1.0,0.0,1.0,100,,,,,25.333333333333332,24.526629518862872,0.5545171339563862,0.10527567133156261,0.5078304624777031,0.1329456969564061,0.6997348155081365,0.10229121257029118,0.07133633087740983,0.1722793890829285,0.07133633087740983,0.1722793890829285
36,245,3,1200,4,0.01,0.6,1.0,5.0,0.01,5.0,0.1,1.0,100,,,,,355.3333333333333,370.91987754170793,0.5451713395638629,0.10527567133156261,0.5000421883495627,0.1299010477019177,0.696449306587597,0.10773434621587696,0.07114991686201699,0.18560377221830612,0.07114991686201699,0.18560377221830612
37,151,3,1600,4,0.05,0.6,0.8,3.0,0.0,3.0,0.5,0.0,100,,,,,56.666666666666664,58.97645481225726,0.5295950155763239,0.11581078065695392,0.4913205283711153,0.1286130092594852,0.7098237383780804,0.0951849268130762,0.0710822559832122,0.1855019529178592,0.0710822559832122,0.1855019529178592
38,113,3,500,5,0.1,0.6,1.0,5.0,0.0,1.0,0.1,1.0,50,,,,,29.0,28.296053906272277,0.545171339563863,0.090396374632691,0.5010106609384138,0.11822640155141509,0.6948019098251179,0.10412050045327123,0.0709940539549024,0.17416717966275735,0.0709940539549024,0.17416717966275735
