trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
30,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,2,0.2,0.0003,0.0,32,9,60,0.8336248397827148,41,60,0.6666666666666666,0.6516965892372529,0.8776613638736822,0.24413983107782433
30,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,2,0.2,0.0003,0.0,32,9,60,0.9883929491043091,30,50,0.5128205128205128,0.22598870056497175,0.6427441818765611,-0.008436442880450423
30,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.2,0.0003,0.0,32,9,60,1.0304900407791138,19,39,0.4358974358974359,0.2118380062305296,0.6547595350618258,0.03501244218994948
31,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,64,2,0.0,0.0003,0.0,16,9,60,0.822973526441134,11,31,0.6666666666666666,0.6421421421421422,0.8859775883610194,0.2437352003606561
31,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,64,2,0.0,0.0003,0.0,16,9,60,1.0266827375460894,6,26,0.5384615384615384,0.3230731728936755,0.5988756249713315,-0.048775845204257484
31,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,64,2,0.0,0.0003,0.0,16,9,60,1.0204472816907442,5,25,0.5256410256410257,0.4387709246152118,0.683166967558202,0.05994930761633521
32,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,1,0.0,0.0003,0.0,16,9,60,0.7469693514016958,9,29,0.7051282051282052,0.6592592592592592,0.8967269309884794,0.3243020995497299
32,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,128,1,0.0,0.0003,0.0,16,9,60,1.0487831586446517,4,24,0.5512820512820513,0.23691460055096417,0.551739085303486,-0.07077279357331534
32,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.0,0.0003,0.0,16,9,60,1.0169476637473474,4,24,0.5128205128205128,0.3496296296296297,0.6917388783711437,0.06237290712545862
33,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,2,0.4,0.0003,0.0001,32,9,60,0.8277854919433594,44,60,0.5897435897435898,0.46251129177958444,0.8538755844427066,0.26057388962263184
